"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
delivery,babys_history,,dropdown,"Mode of delivery","0, Spontaneous vaginal (SVD) | 1, Assisted vaginal (Includes Forceps,Vacuum) | 2, Breech | 3, Caesarean section (C/S) | -1, Empty",,,,,,,y,,NA,,,
time_of_admission_document,babys_history,,yesno,"Time of Admission Documented",,,,,,,"[is_minimum] = '0'",y,RH,NA,,,
time_baby_seen,babys_history,,text,"Time baby seen",,,time,,,,"[time_of_admission_document] = '1'",,,NA,,,
fever,babys_history,,radio,Fever,"1, Yes | 2, No | -1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
fever_duration,babys_history,,radio,"Fever Duration (Less Than a day?)","1, Yes | 2, No | -1, Empty",,,,,,"[fever] = '1'",,RH,,,,
fever_duration_in_days,babys_history,,text,"Fever Duration (More Than a day?)",,"(indicate in days)",,,,,"[fever] = '1' and [fever_duration] = '0'",,RH,,,,
difficulty_breathing,babys_history,,radio,"Difficulty breathing (DIB)","1, Yes | 2, No | -1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
diarrhoea,babys_history,,radio,Diarrhoea,"1, Yes | 2, No | -1, Empty","(indicate Yes, for age >= 3 days)",,,,,"[age_days] >= 3",,RH,,,,
severe_vomiting,babys_history,,radio,"Severe vomiting(vomits everything)","1, Yes | 2, No | -1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
difficulty_feeding,babys_history,,radio,"Difficulty feeding/breastfeeding","1, Yes | 2, No | -1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
convulsions,babys_history,,radio,Convulsions,"1, Yes | 2, No |-1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
partial_focal_fits,babys_history,,radio,"Partial / focal fits","1, Yes | 2, No |-1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
level_of_activity,babys_history,,radio,"Change in level of activity","1, Yes | 2, No | -1, Empty",,,,,,"[is_minimum] = '0' and [apg_doc] = '1'",y,RH,,,,
apnoea,babys_history,,radio,Apnoea,"1, Yes | 2, No | -1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
high_pitched_cry,babys_history,,radio,"High pitched cry","1, Yes | 2, No | -1, Empty",,,,,,"[is_minimum] = '0' and [apg_doc] = '1'",y,RH,NA,,,
infant_drugs,babys_history,,sql,"Infant drugs
","select value from redcap_data where project_id = 188 and field_name = 'drug'",,autocomplete,,,,"[infant_drugs] = '1'",,,,,,
temperature_degrees_celciu,examination,,text,"Temperature(degrees Celsius)",,"in degrees celsius to one decimal place (enter -1 if empty)",number,-1,42,,"[is_minimum] = '0'",y,,NA,,,
respiratory_rate_rr_per_mi,examination,,text,"Respiratory rate- RR (per minute)",,"(input -1 for empty)",number,-1,80,,"[is_minimum] = '0'",y,,NA,,,
heart_rate_hr_min,examination,,text,"Enter pulse value/Heart rate/HR(per minute)",,"indicate per min(input -1 for empty)",number,-1,180,,"[is_minimum] = '0'",y,,NA,,,
oxygen_saturation_measured,examination,,radio,"Oxygen saturation documented","1, Yes | 0, No",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
oxygen_saturation,examination,,text,"Oxygen saturation(%)",,"(input-1 for empty)",number,,,,"[oxygen_saturation_measured] = '1' and [is_minimum] = '0'",,,NA,,,
stirdor,examination,"<h1><font color=blue>Airway and Breathing</font></h1> <h1><font color=blue></font></h1>",radio,Stridor,"1, Yes | 0, No | -1, Empty",,,,,,"[is_minimum] = '0'",,RH,NA,,,
cry,examination,,radio,Cry,"1, Normal | 2, Weak | 3, Hoarse | -1, Empty",,,,,,"[is_minimum] = '0'",,RH,NA,,,
central_cyanosis,examination,,dropdown,"Central cyanosis","1, Yes | 2, No | 3, Not specified | -1, Empty",,,,,,"[is_minimum] = '0'",y,,NA,,,
indrawing,examination,,radio,Indrawing,"1, none/mild | 2, severe | 3, sternum | -1, Empty",,,,,,"[is_minimum] = '0'",,RH,NA,,,
grunting,examination,,radio,Grunting,"1, Yes | 0, No | -1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
