"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
cefta_route,drug_treatment,,radio,"<span style=""color:black;text-align:left;"">Route</span>","1, I.M | 2, I.V | -1, Empty",,,,,,"[cefta] = '1'",,RH,NA,,,
cefta_dose,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Dose</span>",,"mg (enter -1 if not recorded)",number,,,,"[cefta] = '1'",,,NA,,,
cefta_units,drug_treatment,,radio,"<span style=""color:black;text-align:left;"">Cetazidime units</span>","1, mg | -1, Empty",,,,,,"[cefta] = '1'",,RH,NA,,,
cefta_freq,drug_treatment,,dropdown,"<span style=""color:black;text-align:left;"">Frequency</span>","1, OD/once a day/24hrly | 2, BD/twice a day/12hrly | 3, TID/TDS/three times a day/8hrly | 4, QID/4 times a day/6hrly | 5, STAT | -1, Empty","indicate -1 if unrecorded",,,,,"[cefta] = '1'",,,NA,,,
cefta_dur,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Duration(Days)</span>",,"indicate -1 if unrecorded",,,,,"[cefta] = '1'",,,NA,,,
cefta_date_stopped,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Date Ceftazidime Stopped</span>",,,datetime_ymd,,,,"[cefta] = '1'",,,NA,,,
other_treatment,drug_treatment,"<h1></h1> <h2><font color=blue>8.2 OTHER TREATMENT</font></h2>",radio,"Other drugs prescribed","1, Yes | 2, No | -1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
other_drugs_1,drug_treatment,,text,"Other drugs 1",,,,,,,"[other_treatment] = '1'",,,,,,
other_drugs_2,drug_treatment,,text,"Other drugs 2",,,,,,,"[other_treatment] = '1'",,RH,,,,
other_drugs_3,drug_treatment,,text,"Other drugs 3",,,,,,,"[other_treatment] = '1'",,,,,,
other_drugs_4,drug_treatment,,text,"Other drugs 4",,,,,,,"[other_treatment] = '1'",,,,,,
other_drugs_5,drug_treatment,,text,"Other drugs 5",,,,,,,"[other_treatment] = '1'",,,,,,
other_treatment_2,drug_treatment,,yesno,"Are there drugs prescribed during admission yet not listed in the Look up list?",,,,,,,"[is_minimum] = '0'",y,RH,,,,
admisn_dx_not_listed,drug_treatment,,text,"List of drugs NOT listed in the look up list",,"List the drugs separating by commas",,,,,"[other_treatment_2] = '1'",y,RH,,,,
oxygen_ordered,supportive_care,"<h1><font color=blue>Oxygen and blood transfusion</font></h1>",yesno,"Oxygen ordered",,,,,,,"[is_minimum] = '0'",y,RH,NA,,,
cpap,supportive_care,"<h1><font color=blue>CPAP</font></h1>",radio,"CPAP done","1, Yes | 0, No | -1, Empty",,,,,,,,RH,NA,,,
cpap_start,supportive_care,,text,"Start Date",,"if unrecorded enter 1914-01-01",date_ymd,,,,"[cpap] = '1'",,,NA,,,
cpap_start_time,supportive_care,,text,"Start Time",,,time,,,,"[cpap] = '1'",,,NA,,,
cpap_stop,supportive_care,,text,"End Date",,"if unrecorded enter 1914-01-01",date_ymd,,,,"[cpap] = '1'",,,NA,,,
cpap_end_time,supportive_care,,text,"End Time",,,time,,,,"[cpap] = '1'",,,NA,,,
mechanical_ventilation,supportive_care,,radio,"Mechanical Ventilation","1, Yes | 0, No | -1, Empty",,,,,,"[cpap] = '1' and [cpap] = '0'",,RH,,,,
blood_transfusion_prescrib,supportive_care,"<h1><font color=blue>Blood Transfusion</font></h1>",radio,"Blood Transfusion Prescribed ","1, Yes | 2, No",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
blood_transf_pres_date,supportive_care,,text,"Date When Transfusion  Was Prescribed",,,date_ymd,,,,"[blood_transfusion_prescrib] = '1'",,,NA,,,
blood_transfussion_given,supportive_care,,radio,"First transfusion on admission","1, Yes | 2, No",,,,,,"[blood_transfusion_prescrib] = '1' and [is_minimum] = '0'",,RH,NA,,,
exchange_transfusion,supportive_care,,radio,"Exchange Transfusion","1, Yes | 2, No","indicate if there was an exchange transfusion",,,,,"[blood_transfusion_prescrib] = '1'",,RH,NA,,,
fluid_feed_monitoring_chart,supportive_care,,radio,"Fluids prescribed at admission using intravenous( I.V) route.","1, Yes | 2, No",,,,,,"[is_minimum] = '0'",y,RH,,,,
date_fluid_presc,supportive_care,,text,"Date Fluid Prescribed",,,date_ymd,,,,"[fluid_feed_monitoring_chart] = '1' and [is_minimum] = '0'",,,,,,
intravenous_fluids_presc,supportive_care,,dropdown,"IV fluids prescribed ","1, Half strength darrows(HSD) | 2, Half strength darrows with 5% DW | 3, 10% DW(D10W) | 4, Normal Saline(NS) | 5, Ringers Lactate/Hartmanns(RL) | 6, Other | 7, 5% DW(D5W)",,,,,,"[fluid_feed_monitoring_chart] = '1' and [is_minimum] = '0'",,,,,,
total_volume_of_iv_fluids,supportive_care,,text,"Total volume of IV fluids",,,number,60,180,,"[fluid_feed_monitoring_chart] = '1' and [is_minimum] = '0'",,,NA,,,
duration_of_iv_fluid_presc,supportive_care,,text,"Duration of IV fluid prescribed",,"in hours",,,,,"[fluid_feed_monitoring_chart] = '1' and [is_minimum] = '0'",,,NA,,,
other_fluid,supportive_care,,radio,"Other fluid ","1, Yes | 2, No",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
other_fluid_prescribed,supportive_care,,dropdown,"Specify other fluid prescribed","1, Half strength darrows(HSD) | 2, Half strength darrows with 5% DW | 3, 10% DW(D10W) | 4, Normal Saline(NS) | 5, Ringers Lactate/Hartmanns(RL) | 6, Other | 7, 5% DW(D5W)",,,,,,"[other_fluid] = '1' and [is_minimum] = '0'",,,NA,,,
total_vol_of_other_fluid,supportive_care,,text,"Total volume of other fluid prescribed",,"(total vol in mls )",number,60,180,,"[other_fluid] = '1' and [is_minimum] = '0'",,,,,,
duration_prescribed,supportive_care,,text,"Duration of flow prescribed",,"(time in hrs,if unrecorded fill -1)",number,,,,"[other_fluid] = '1' and [is_minimum] = '0'",,,NA,,,
other_fluid_2,supportive_care,,yesno,"Other fluid 2 ",,,,,,,"[is_minimum] = '0'",,RH,NA,,,
specify_other_fluid_2_pres,supportive_care,,dropdown,"Specify other fluid 2 prescribed","1, Half strength darrows(HSD) | 2, Half strength darrows with 5% DW | 3, 10% DW(D10W) | 4, Normal Saline(NS) | 5, Ringers Lactate/Hartmanns(RL) | 6, Other | 7, 5% DW(D5W)",,,,,,"[other_fluid_2] = '1'",,,NA,,,
total_volume_of_fluid_2,supportive_care,,text,"Total volume of fluid 2",,"total vol in mls",number,,,,"[other_fluid_2] = '1'",,,NA,,,
duration_of_flow_2,supportive_care,,text,"Duration of flow_2",,"in hours",,,,,"[other_fluid_2] = '1'",,,NA,,,
child_prescribed_with_feed,supportive_care,"<h1><font color=blue>Feeds</font></h1>",yesno,"Child prescribed with feeds at admission",,,,,,,"[is_minimum] = '0'",y,RH,NA,,,
date_feeds_prescribed,supportive_care,,text,"Date feeds prescribed",,,date_ymd,,,,"[child_prescribed_with_feed] = '1' and [is_minimum] = '0'",,,NA,,,
type_of_feeds,supportive_care,,dropdown,"Type of feeds prescribed","1, Expressed Breast Milk (EBM) | 2, Neonatal formula | 3, Cow's milk | 4, Mixed feeding | 5, Other",,,,,,"[child_prescribed_with_feed] = '1' and [is_minimum] = '0'",,,NA,,,
time_to_start_feeds_after,supportive_care,,dropdown,"Time to start feeds(after admission)","1, <1 hr | 2, 1-2 hrs | 3, >2hrs | -1, Empty",,,,,,"[child_prescribed_with_feed] = '1' and [is_minimum] = '0'",,,NA,,,
feeding_route_prescribed,supportive_care,,dropdown,"Feeding route prescribed","1, NG Tube | 2, Cup and spoon | 3, Cup without spoon | -1, Empty",,,,,,"[child_prescribed_with_feed] = '1' and [is_minimum] = '0'",,,,,,
feed_volume,supportive_care,,text,"Feed Volume",,"total vol in mls per feed",number,,,,"[child_prescribed_with_feed] = '1' and [is_minimum] = '0'",,,NA,,,
freq_of_administration,supportive_care,,dropdown,"Frequency of administration","1, hrly | 2, 2hrly | 3, 3hrly | 4, 4hrly | 5, 5hrly | 6, 6hrly | 7, Test Feed | -1, Empty",,,,,,"[child_prescribed_with_feed] = '1' and [is_minimum] = '0'",,,,,,
date_the_feeds_initiated,supportive_care,,text,"Date the feeds are initiated",,"if unrecorded enter 1914-01-01)",date_ymd,,,,"[child_prescribed_with_feed] = '1' and [is_minimum] = '0'",,,,,,
other_feeds,supportive_care,,notes,"Other feed",,,,,,,"[type_of_feeds] = '5' and [child_prescribed_with_feed] = '1' and [is_minimum] = '0'",,,,,,
feed_fluid_monitorng_chart,supportive_care,,radio,"Feed/fluid monitoring chart available","1, Yes | 2, No",,,,,,"[is_minimum] = '0'",y,RH,,,,
phototherapy,supportive_care,"<h1><font color=blue>Phototherapy</font></h1>",radio,"Phototherapy on day of admission","1, Yes | 2, No",,,,,,,y,RH,NA,,,
photo_therapy_on_any_other,supportive_care,,radio,"Photo-therapy on any other day","1, Yes | 2, No",,,,,,"[phototherapy] = '2'",y,RH,,,,
start_date_phototherapy,supportive_care,,text,"Start date of photo-therapy",,"if unrecorded enter 1914-01-01",date_ymd,,,,[photo_therapy_on_any_other]='1',,,,,,
stop_date_phototherapy,supportive_care,,text,"Stop date of phototherapy",,"if unrecorded enter 1914-01-01",date_ymd,,,,"[photo_therapy_on_any_other]='1' or [phototherapy] ='1'",,,NA,,,
k_mother_care,supportive_care,"<h1><font color=blue>Kangaroo Mother Care</font></h1>",yesno,"Was Kangaroo Mother Care(KMC) given?",,,,,,,,,RH,NA,,,
vitals_signs_chart_present,follow_up_monitoring,"<h1><font color=blue>10.MONITORING(look through the entire file for this information)</font></h1>",yesno,"Vitals signs chart present",,,,,,,"[is_minimum] = '0'",y,RH,NA,,,
vital_signs_monitored_in_t,follow_up_monitoring,,yesno,"Vital signs monitored in the first 48 hours",,,,,,,"[vitals_signs_chart_present] = '1' and [is_minimum] = '0' and [is_minimum] = '1'",,RH,NA,,,
vital_signs_monitored,follow_up_monitoring,,checkbox,"Vital signs monitored","1, Pulse Rate | 2, Temperature | 3, Oxygen Saturation | 4, Respiratory Rate | 5, None",,,,,,"[vitals_signs_chart_present] = '1'",,,,,,
no_of_times_temp_monitored,follow_up_monitoring,,dropdown,"Number of times temp monitored in 48 hrs","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, >10 | -1, Empty",,,,,,"[vital_signs_monitored_in_t] = '1' and [is_minimum] = '0' and [is_minimum] = '1'",,,,,,
no_of_times_resp_monitored,follow_up_monitoring,,dropdown,"Number of times respiratory rate monitored in 48 hrs","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, >10 | -1, Empty",,,,,,"[vital_signs_monitored_in_t] = '1' and [is_minimum] = '0' and [is_minimum] = '1'",,,,,,
no_of_times_puls_monitored,follow_up_monitoring,,dropdown,"Number of times pulse rate monitored in 48 hrs","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, >10 | -1, Empty",,,,,,"[vital_signs_monitored_in_t] = '1' and [is_minimum] = '0' and [is_minimum] = '1'",,,,,,
fluid_monitoring_chart,follow_up_monitoring,,yesno,"Is there a fluid monitoring chart?",,,,,,,"[is_minimum] = '0'",y,RH,,,,
disch_death_summ,discharge_information,"<h1><font color=blue>11. DISCHARGE SUMMARY</font></h1>",radio,"Death/discharge summary present?","1, Yes | 0, No | -1, Empty",,,,,,,y,RH,,,,
discharge_weight,discharge_information,,text,"Discharge weight",,"in Kgs(Enter-1 if unrecorded)",number,,,,"[disch_death_summ] = '1'",,,NA,,,
outcome,discharge_information,,dropdown,"Outcome at discharge","1, Alive | 2, Dead | 3, Referred | 4, Absconded |-1, Empty",,,,,,,y,,,,,
referred_where,discharge_information,,text,"Referred from Where?",,,,,,,"[outcome] = '3'",,,,,,
referred_to,discharge_information,,dropdown,"Referred To?","1, Pumwani Maternity Hospital | 2, Mama Lucy Kayole | 3, Mbagathi DH | 4, Nyeri PGH | 5, Nyahururu DH | 60, Siaya DH | 7, Bungoma DH | 62, Kisumu East DH | 65, Bondo DH | 67, Yala DH | 69, JOOTRH | 70, Kenyatta National Hospital",,,,,,"[outcome] = '3'",,,,,,
dsc_condition,discharge_information,,dropdown,"Condition on discharge","1, Normal | 2, Neuro sequelae/disability | 3, Other | -1, Empty",,,,,,"[outcome] = '1' or [outcome] = '3'",,,,,,
follow_up,discharge_information,,dropdown,"Follow up care","1, None | 2, Clinics within the hospital(e.g POPC/SOPC) | 3, Other health facilities",,,,,,"[outcome] = '1' and [is_minimum] = '0'",,,,,,
dsc_dx1_primary,discharge_information,,radio,"Clear primary Discharge Diagnosis","1, Yes | 0, No | -1, Empty",,,,,,,y,RH,,,,
primary_disch_diagnosis,discharge_information,,text,"Primary discharge diagnosis",,,,,,,"[dsc_dx1_primary] = '1'",,,,,,
disch_diag_1,discharge_information,,text,"Discharge diagnosis 1",,,,,,,"[dsc_dx1_primary] = '0'",,,,,,
disch_diag_2,discharge_information,,text,"Discharge diagnosis 2",,,,,,,"[dsc_dx1_primary] = '0'",,,,,,
disch_diag_3,discharge_information,,text,"Discharge diagnosis 3",,,,,,,"[dsc_dx1_primary] = '0'",,,,,,
disch_diag_4,discharge_information,,text,"Discharge diagnosis 4",,,,,,,"[dsc_dx1_primary] = '0'",,,,,,
disch_diag_5,discharge_information,,text,"Discharge diagnosis 5",,,,,,,"[dsc_dx1_primary] = '0'",,,,,,
any_other_disch_diag,discharge_information,,yesno,"Any other discharge diagnosis NOT listed in the Look up list?",,,,,,,,,RH,,,,
other_disch_diag_1,discharge_information,,text,"List of discharge diagnosis NOT listed in the Look up list",,"List the diagnosis separating by commas",,,,,"[any_other_disch_diag] = '1'",,,,,,
opv,discharge_information,"<h1><font color=blue> Discharge treatment</font></h1>",yesno,"Oral Polio vaccine administered during hospitalization",,,,,,,,y,RH,NA,,,
bcg,discharge_information,,yesno,"BCG administered during hospitalization",,,,,,,,y,RH,NA,,,
